firm_id,date,text
tesla,2017-2,{{20170228T030940.521+0000}}CORRECTED-UPDATE 3-SpaceX to send first paying tourists around moon next year(Corrects SpaceX backlog to $10 billion from $70 billion in paragraph 20)
tesla,2017-2,"CAPE CANAVERAL, Fla., Feb 27 (Reuters) - SpaceX plans to launch two paying passengers on a tourist trip around the moon next year using a spaceship under development for NASA astronauts and a heavy-lift rocket yet to be flown, the launch company announced on Monday."
tesla,2017-2,"The launch of the first privately funded tourist flight beyond the orbit of the International Space Station is tentatively targeted for late 2018, Space Exploration Technologies Chief Executive Elon Musk told reporters on a conference call."
tesla,2017-2,"Musk declined to identify the customers or say how much they would pay to fly on the weeklong mission, except to say that it is ""nobody from Hollywood."""
tesla,2017-2,"He also said the two prospective space tourists, who know each other, have put down a ""substantial"" deposit and would undergo ""extensive training before going on the mission."""
tesla,2017-2,"""I think there's a market for one or two of these per year,"" he said, estimating that space tourist fares charged by SpaceX could eventually contribute 10 to 20 percent of the company's revenue."
tesla,2017-2,"Plans call for SpaceX's two-person lunar venture to fly some 300,000 to 400,000 miles (480,000 to 640,000 km) from Earth past the moon before Earth's gravity pulls the spacecraft back into the atmosphere for a parachute landing."
tesla,2017-2,That trajectory would be similar to NASA's 1968 Apollo 8 mission beyond the moon and back.
tesla,2017-2,"Musk also said that if NASA decides it wants to be first in line for a lunar flyby mission, the U.S. space agency would take priority."
tesla,2017-2,"At the behest of the Trump administration, NASA is conducting a study to assess safety risks, costs and potential benefits of letting astronauts fly on the debut test flight of its heavy-lift Space Launch System rocket and Orion capsule."
tesla,2017-2,That mission is currently planned to be uncrewed and scheduled to launch in late 2018.
tesla,2017-2,Musk said the privately funded moon expedition would take place after his California-based company begins flying crew to the International Space Station for the National Aeronautics and Space Administration.
tesla,2017-2,NASA is hoping those crew-ferrying flights begin by late 2018.
tesla,2017-2,"SpaceX's own Falcon Heavy rocket, which Musk wants to use for the lunar tourist mission, is scheduled to make a debut test flight later this year."
tesla,2017-2,"Musk, also CEO of electric carmaker Tesla , said missions around the moon could provide practice for eventual human flights to Mars, the long-term goal of SpaceX."
tesla,2017-2,"Except for needed communications upgrades, the Dragon spaceship in development for NASA astronauts is well suited for lunar flyby missions, Musk added."
tesla,2017-2,The launch would require licensing by the Federal Aviation Administration.
tesla,2017-2,SpaceX joins a growing list of companies developing commercial passenger spaceflight services.
tesla,2017-2,"Virgin Galactic, an offshoot of Richard Branson's London-based Virgin Group, is testing a six-passenger, two-pilot spaceship to carry paying customers about 62 miles (100 km) above Earth, high enough to experience brief microgravity and see Earth's curvature against the blackness of space."
tesla,2017-2,"SpaceX has a $10 billion backlog of about 70 missions for NASA and commercial customers. The firm's backers include Alphabet's Google Inc and Fidelity Investments, which together have contributed $1 billion to Musk's firm."
tesla,2017-2,"U.S. RESEARCH ROUNDUP-CBRE Group, Hanesbrands, QEP Resources, Terex - Reuters News"
tesla,2017-2,"{{20170227T230805.054+0000}}U.S. RESEARCH ROUNDUP-CBRE Group, Hanesbrands, QEP Resources, TerexFeb 27 (Reuters) - Wall Street securities analysts revised their ratings and price targets on"
tesla,2017-2,"several U.S.-listed companies, including CBRE Group, Hanesbrands, QEP Resources and Terex, on Monday."
tesla,2017-2,* CBRE Group Inc : Barclays raises target price to $40 from $37; rating overweight
tesla,2017-2,* HanesBrands Inc : Morgan Stanley cuts to equal weight from overweight
tesla,2017-2,* QEP Resources Inc : SunTrust Robinson cuts target price to $17 from $20
tesla,2017-2,* Zebra Technologies Corp : Imperial Capital raises target price to $95 from $86
tesla,2017-2,Following is a summary of research actions on U.S. companies reported by Reuters on Monday. Stock
tesla,2017-2,* Acadia Healthcare Company Inc : Mizuho raises target price to $52 from $45
tesla,2017-2,* Advanced Disposal Services Inc : Wedbush raises target price to $22 from $21
tesla,2017-2,* Agree Realty Corp : Wunderlich Securities cuts to hold from buy
tesla,2017-2,* Agree Realty Corp : Wunderlich Securities raises target price to $51 from $49
tesla,2017-2,* Alliant Energy Corp : Barclays raises target price to $41 from $38; equal weight
tesla,2017-2,* Allstate Corp : JP Morgan raises target price to $95 from $85; rating overweight
tesla,2017-2,* AMC Networks Inc : Deutsche Bank raises price target to $65 from $64; rating hold
tesla,2017-2,* American Homes 4 Rent : Credit Suisse starts with neutral; target price $24
tesla,2017-2,* American States Water : Janney raises fair Value to $40 from $39; rating neutral
tesla,2017-2,* Arch Capital Group : JP Morgan raises target price to $110 from $105; overweight
tesla,2017-2,* Ares Management LP : KBW cuts to market perform from outperform
tesla,2017-2,* Arthur J Gallagher & Co : JP Morgan raises target to $52 from $45; underweight
tesla,2017-2,* Ashford Hospitality Trust Inc : FBR raises to outperform from market perform
tesla,2017-2,* Atlantica Yield Plc : RBC raises target price to $23 from $22; rating outperform
tesla,2017-2,* Baidu Inc : JP Morgan cuts target price to $190 from $195; rating neutral
tesla,2017-2,* Bank of N.T. Butterfield & Son : Raymond James raises target to $36 from $33
tesla,2017-2,* Cabot Oil & Gas Corp : Barclays raises target price to $27 from $25; overweight
tesla,2017-2,* Cabot Oil & Gas Corp : Raymond James raises target to $32 from $30; strong buy
tesla,2017-2,* CBRE Group Inc : Barclays raises target price to $40 from $37; rating overweight
tesla,2017-2,* Charles River Laboratories Intl : SunTrust Robinson ups target to $105 from $98
tesla,2017-2,* China Biologic Products Inc : Deutsche Bank cuts target price to $155 from $162
tesla,2017-2,* Chubb Ltd : JP Morgan raises target price to $140 from $130; rating neutral
tesla,2017-2,* Clearwater Paper Corp : RBC raises to sector perform from underperform
tesla,2017-2,* Colony Starwood Homes : Credit Suisse starts with neutral; target price $34
tesla,2017-2,* Community Healthcare Trust : SunTrust Robinson ups target price to $27 from $26
tesla,2017-2,* Computer Programs and Systems : Dougherty & Company raises target to $31 from $30
tesla,2017-2,* Concho Resources Inc : Canaccord Genuity raises target price to $148 from $145
