firm_id,date,text
tesla,2017-5,"{{20170531T065223.256+0000}}CORRECTED-U.S. RESEARCH ROUNDUP-Autozone, Valero Energy, Whiting Petroleum (May 30)(Corrects brokerage on Genesco Inc to Susquehanna from Morgan Stanley)"
tesla,2017-5,May 31 (Reuters) - Wall Street securities analysts revised their ratings and price targets on
tesla,2017-5,"several U.S.-listed companies, including Biohaven Pharmaceutical Holding, PVH and Valero Energy, on"
tesla,2017-5,* Whiting Petroleum Corp : Goldman Sachs cuts to sell from neutral
tesla,2017-5,Following is a summary of research actions on U.S. companies reported by Reuters on Tuesday. Stock
tesla,2017-5,entries are in alphabetical order. See bottom of the table for sector changes.
tesla,2017-5,* Altria Group : Independent Research raises target price to $79.0 from $74.0; hold
tesla,2017-5,* American Assets Trust Inc : Mizuho cuts target price to $42.5 from $44
tesla,2017-5,* Antero Midstream GP LP : Baird starts with outperform; target price $28
tesla,2017-5,* Antero Midstream GP LP : Barclays starts with overweight; target price $26
tesla,2017-5,* Antero Midstream GP LP : D.A. Davidson starts with buy rating; $30 target price
tesla,2017-5,* Antero Midstream GP LP : Goldman Sachs starts with buy rating; price target $29
tesla,2017-5,* Antero Midstream GP LP : JP Morgan starts with overweight; target price $27
tesla,2017-5,* Antero Midstream GP LP : Ladenburg Thalmann starts with buy; $27 target price
tesla,2017-5,* Antero Midstream GP LP : Raymond James starts with strong buy rating; $26 target
tesla,2017-5,* Antero Midstream GP LP : Stifel starts with hold rating; $24 target price
tesla,2017-5,* Antero Midstream Partners LP : Goldman Sachs starts with buy rating
tesla,2017-5,* Archrock Partners LP : Goldman Sachs cuts to neutral from buy
tesla,2017-5,* Athenahealth Inc : UBS raises target price to $152 from $123; rating buy
tesla,2017-5,* Bank of The Ozarks Inc : SunTrust Robinson cuts target price to $51 from $54
tesla,2017-5,* Biogen Inc : Mizuho cuts price target to $274 from $290; rating neutral
tesla,2017-5,* Brixmor Property Group Inc : Mizuho cuts target price to $19 from $25
tesla,2017-5,* Buffalo Wild Wings Inc : Wedbush cuts price target to $115 from $150
tesla,2017-5,* Buffalo Wild Wings Inc : Wedbush cuts to underperform from neutral
tesla,2017-5,* Burlington Stores Inc : Cowen and Company raises target price to $110 from $103
tesla,2017-5,* Cardconnect Corp : Cowen and Company cuts target price to $15 from $17
tesla,2017-5,* Cardconnect Corp : Cowen and Company cuts to market perform from outperform
tesla,2017-5,* CBL & Associates Properties Inc : Mizuho cuts target price to $8.5 from $11
tesla,2017-5,* Check Cap Ltd : Maxim Group cuts price target to $5.00 from $6.00 ; rating buy
tesla,2017-5,* China Rapid Finance Ltd : Jefferies starts with a buy rating; price target $10
tesla,2017-5,* China Rapid Finance Ltd : Jefferies starts with buy; target price $10
tesla,2017-5,* Cliffs Natural Resources Inc : JP Morgan cuts target price to $8.50 from $12.50
tesla,2017-5,* Cooper Companies Inc : JP Morgan raises target price to $200 from $181
tesla,2017-5,* Corporate Office Properties Trust : Barclays raises target to $36 from $32; hold
tesla,2017-5,* Corporate Office Properties Trust : Jefferies raises target to $36 from $32; hold
tesla,2017-5,* Deckers Outdoor Corp : Morgan Stanley raises price target by $5 to $59
tesla,2017-5,* Dunkin' Brands Group Inc : Barclays raises target price to $65 from $62
tesla,2017-5,* DXC Technology Co : Stifel starts with hold rating; price target $86
tesla,2017-5,* Eaton Corporation Plc : Argus Research raises target price to $85 from $83
tesla,2017-5,* Federal Realty Investment Trust : Mizuho cuts target price to $140 from $159
tesla,2017-5,* First Bank : Sandler O'Neill cuts price target to $12.50; rating hold
tesla,2017-5,* Freeport-McMoRan Inc : JP Morgan cuts target price to $12 from $14
tesla,2017-5,* General Growth Properties Inc : Mizuho cuts target price to $24.5 from $30
tesla,2017-5,* General Growth Properties Inc : Mizuho cuts to neutral from buy
tesla,2017-5,* General Mills Inc : Susquehanna cuts price target to $59 from $62; rating neutral
tesla,2017-5,* Genesco Inc : Susquehanna cuts target price to $43 from $66; rating positive
tesla,2017-5,* Hub Group Inc : Cowen And Company raises price target to $42; market outperform
tesla,2017-5,* Intuitive Surgical Inc : Canaccord Genuity cuts to hold from buy; target $870
tesla,2017-5,* Keysight Technologies Inc : Citigroup starts with buy rating; $44 price target
tesla,2017-5,* KKR Real Estate Finance Trust : JP Morgan starts with neutral; target price $23
tesla,2017-5,* KKR Real Estate Finance Trust Inc : KBW starts with market perform
tesla,2017-5,* LSC Communications Inc : Citigroup starts with neutral rating; $23 price target
tesla,2017-5,* Mercury Systems : Jefferies raises price target to $43 from $39; rating hold
tesla,2017-5,* Newfield Exploration Co : Goldman Sachs cuts price target to $45 from $52
tesla,2017-5,* Newfield Exploration Co : Goldman Sachs raises to buy from neutral
tesla,2017-5,* Ovid Therapeutics Inc : Cowen and Company starts with outperform rating
tesla,2017-5,* Ovid Therapeutics Inc : JMP starts with market outperform; $26 target price
tesla,2017-5,* Palo Alto Networks Inc : Dougherty cuts target price to $135 from $155
tesla,2017-5,* Pentair Plc : Cowen and Company raises target price to $59 from $50
tesla,2017-5,* Pieris Pharmaceuticals : Rodman & Renshaw starts with buy rating;$9 price target
tesla,2017-5,* Psivida Corp : Rodman & Renshaw starts with buy rating; $8 price target
tesla,2017-5,* PVH Corp : B.Riley raises price target to $128 from $125; rating buy
tesla,2017-5,* Quality Systems : Leerink raises target to $16 from $14; rating market perform
tesla,2017-5,* Rapid7 Inc : Monness Crespi Hardt starts with buy rating; $23 price target
tesla,2017-5,* Rayonier Advanced Materials Inc : RBC raises target price to $20 from $16
tesla,2017-5,* Simon Property Group Inc : Mizuho cuts target price to $178 from $198
tesla,2017-5,* Simon Property Group Inc : Mizuho raises to buy from neutral
tesla,2017-5,* Southern Copper Corp : JP Morgan cuts target price to $39 from $42
tesla,2017-5,* Tesla Inc : Independent Research starts with hold; target price USD 350.00
